Header_시,Header_구,Header_동,Header_Timestamp,Header_단지명,Header_평형,target,Static__준공구분,Static__세대수구분,Static__평수구분,Static__건설사등급,Static__초품아여부,Static__역세권수,Static__호재수,depth1__ecos__base_rate,depth1__ecos__cd_91d_rate,depth1__ecos__cpi_housing,depth1__ecos__m2_avg,depth1__ecos__mortgage_rate_new,depth1__ecos__unemployment_rate,depth2__reb__apt_sale_supply_demand,depth2__reb__apt_jeonse_supply_demand,depth2__reb__apt_monthly_rent_supply_demand,depth3__reb__apt_sale_index,depth3__reb__apt_jeonse_index,depth3__policy__ltv_tightness,depth3__policy__dsr_severity,depth3__policy__is_speculative,depth3__policy__is_overheated,depth3__policy__is_regulated
서울특별시,종로구,청운동,2026-05-01,청운현대,68.43,85000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.82,118.53,4143515.8,4.31,2.9,,,,103.96873,101.535039,1,1,0,1,1
서울특별시,종로구,청운동,2026-04-01,청운현대,68.43,80000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.82,118.24,4143515.8,4.31,2.9,103.323699421965,107.947976878613,110.549132947977,102.926793,100.763917,1,1,0,1,1
서울특별시,종로구,청운동,2026-03-01,청운현대,68.43,80000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.82,118.05,4143515.8,4.34,3.0,102.890173410405,105.491329479769,109.682080924855,102.378155,100.488598,1,1,0,1,1
서울특별시,종로구,청운동,2026-02-01,청운현대,68.43,80000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.78,117.83,4111822.7,4.32,3.4,103.034682080925,103.034682080925,107.658959537572,101.011338,100.299758,1,1,0,1,1
서울특별시,종로구,청운동,2026-01-01,청운현대,68.43,80000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.7,117.36,4105513.1,4.29,4.1,105.491329479769,102.312138728324,107.514450867052,100.0,100.0,1,1,0,1,1
서울특별시,종로구,청운동,2025-12-01,청운현대,68.43,80000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.84,117.12,4089671.2,4.23,4.1,105.202312138728,103.757225433526,107.514450867052,99.738353,99.615042,1,1,0,1,1
서울특별시,종로구,청운동,2025-11-01,청운현대,68.43,80000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.69,116.89,4066699.3,4.17,2.2,105.057803468208,103.612716763006,107.225433526012,98.937661,99.417789,1,1,0,1,1
서울특별시,종로구,청운동,2025-10-01,청운현대,68.43,80000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.55,116.94,4056854.5,3.98,2.2,111.849710982659,104.913294797688,107.080924855491,98.099842,98.899936,1,1,0,1,1
서울특별시,종로구,청운동,2025-09-01,청운현대,68.43,80000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.56,116.71,4055458.9,3.96,2.1,108.236994219653,103.612716763006,104.335260115607,97.845155,98.725409,-1,1,0,0,0
서울특별시,종로구,청운동,2025-08-01,청운현대,68.43,80000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.51,115.37,4031011.4,3.96,2.0,102.167630057803,101.156069364162,101.734104046243,97.505811,98.28983,-1,1,0,0,0
서울특별시,종로구,청운동,2025-07-01,청운현대,68.43,75000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.51,115.16,3993116.2,3.96,2.4,103.901734104046,101.878612716763,102.456647398844,97.32692,97.950026,-1,1,0,0,0
서울특별시,종로구,청운동,2025-06-01,청운현대,68.43,75000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.57,116.56,3972892.3,3.93,2.8,107.514450867052,103.034682080925,104.335260115607,96.895224,97.642411,-1,1,0,0,0
서울특별시,종로구,청운동,2025-05-01,청운현대,68.43,75000.0,구축,소단지,중형,대형,초품아,0,0,2.5,2.67,116.47,3955366.9,3.87,2.8,103.179190751445,101.734104046243,102.890173410405,96.420398,97.304904,-1,1,0,0,0
서울특별시,종로구,청운동,2025-04-01,청운현대,68.43,75000.0,구축,소단지,중형,대형,초품아,0,0,2.75,2.74,116.24,3935845.0,3.98,2.9,103.034682080925,100.867052023121,102.745664739884,96.076759,97.143464,-1,1,0,0,0
서울특별시,종로구,청운동,2025-03-01,청운현대,68.43,75000.0,구축,소단지,중형,대형,초품아,0,0,2.75,2.84,116.25,3924087.0,4.17,3.1,103.382352941176,101.617647058824,102.794117647059,94.687085,96.695858,-1,1,0,0,0
서울특별시,종로구,청운동,2025-02-01,청운현대,68.43,75000.0,구축,소단지,중형,대형,초품아,0,0,2.75,2.95,116.47,3920448.5,4.23,3.2,101.323529411765,100.294117647059,102.5,94.091354,96.418799,-1,1,0,0,0
서울특별시,종로구,청운동,2025-01-01,청운현대,68.43,75000.0,구축,소단지,중형,대형,초품아,0,0,3.0,3.04,115.87,3921714.4,4.27,3.7,100.147058823529,99.4117647058823,101.764705882353,94.05367,96.24741,-1,1,0,0,0
서울특별시,종로구,청운동,2024-12-01,청운현대,68.43,75000.0,구축,소단지,중형,대형,초품아,0,0,3.0,3.35,115.67,3906282.9,4.25,3.8,99.7058823529412,101.029411764706,102.5,93.998208,96.094833,-1,1,0,0,0
서울특별시,종로구,청운동,2024-11-01,청운현대,68.43,75000.0,구축,소단지,중형,대형,초품아,0,0,3.0,3.42,115.48,3881925.7,4.3,2.2,100.735294117647,102.941176470588,102.352941176471,93.902777,95.851105,-1,1,0,0,0
